Zipcode,City,County,Region,Latitude,Longitude
90001,Los Angeles,Los Angeles,Los Angeles,33.973593,-118.247897
90002,Los Angeles,Los Angeles,Los Angeles,33.949009,-118.245976
90003,Los Angeles,Los Angeles,Los Angeles,33.964032,-118.273705
90004,Los Angeles,Los Angeles,Los Angeles,34.076067,-118.310767
90005,Los Angeles,Los Angeles,Los Angeles,34.058384,-118.311342
90006,Los Angeles,Los Angeles,Los Angeles,34.047604,-118.292271
90007,Los Angeles,Los Angeles,Los Angeles,34.02654,-118.282786
90008,Los Angeles,Los Angeles,Los Angeles,34.006924,-118.345668
90009,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2425
90010,Los Angeles,Los Angeles,Los Angeles,34.063288,-118.312069
90011,Los Angeles,Los Angeles,Los Angeles,34.009842,-118.258642
90012,Los Angeles,Los Angeles,Los Angeles,34.065549,-118.24054
90013,Los Angeles,Los Angeles,Los Angeles,34.045639,-118.241644
90014,Los Angeles,Los Angeles,Los Angeles,34.043027,-118.252267
90015,Los Angeles,Los Angeles,Los Angeles,34.040499,-118.267022
90016,Los Angeles,Los Angeles,Los Angeles,34.029034,-118.357757
90017,Los Angeles,Los Angeles,Los Angeles,34.05285,-118.264858
90018,Los Angeles,Los Angeles,Los Angeles,34.027281,-118.317659
90019,Los Angeles,Los Angeles,Los Angeles,34.048545,-118.339502
90020,Los Angeles,Los Angeles,Los Angeles,34.066086,-118.311404
90021,Los Angeles,Los Angeles,Los Angeles,34.029837,-118.240344
90022,Los Angeles,Los Angeles,Los Angeles,34.029386,-118.151264
90023,Los Angeles,Los Angeles,Los Angeles,34.017238,-118.200211
90024,Los Angeles,Los Angeles,Los Angeles,34.065677,-118.434088
90025,Los Angeles,Los Angeles,Los Angeles,34.045358,-118.443574
90026,Los Angeles,Los Angeles,Los Angeles,34.076068,-118.262339
90027,Los Angeles,Los Angeles,Los Angeles,34.128046,-118.289065
90028,Los Angeles,Los Angeles,Los Angeles,34.099603,-118.327532
90029,Los Angeles,Los Angeles,Los Angeles,34.089679,-118.292618
90030,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90031,Los Angeles,Los Angeles,Los Angeles,34.07913,-118.218128
90032,Los Angeles,Los Angeles,Los Angeles,34.082594,-118.177274
90033,Los Angeles,Los Angeles,Los Angeles,34.049662,-118.211313
90034,Los Angeles,Los Angeles,Los Angeles,34.029334,-118.399406
90035,Los Angeles,Los Angeles,Los Angeles,34.052107,-118.385271
90036,Los Angeles,Los Angeles,Los Angeles,34.070436,-118.350486
90037,Los Angeles,Los Angeles,Los Angeles,34.00329,-118.28894
90038,Los Angeles,Los Angeles,Los Angeles,34.089167,-118.32715
90039,Los Angeles,Los Angeles,Los Angeles,34.12059,-118.255117
90040,Los Angeles,Los Angeles,Los Angeles,33.994062,-118.152349
90041,Los Angeles,Los Angeles,Los Angeles,34.1341,-118.205333
90042,Los Angeles,Los Angeles,Los Angeles,34.113302,-118.191494
90043,Los Angeles,Los Angeles,Los Angeles,33.985471,-118.337998
90044,Los Angeles,Los Angeles,Los Angeles,33.953125,-118.291963
90045,Los Angeles,Los Angeles,Los Angeles,33.955074,-118.402
90046,Los Angeles,Los Angeles,Los Angeles,34.10727,-118.36889
90047,Los Angeles,Los Angeles,Los Angeles,33.953042,-118.309428
90048,Los Angeles,Los Angeles,Los Angeles,34.070997,-118.376175
90049,Los Angeles,Los Angeles,Los Angeles,34.086348,-118.48826
90050,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90051,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90052,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90053,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90054,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90055,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90056,Los Angeles,Los Angeles,Los Angeles,33.994486,-118.374313
90057,Los Angeles,Los Angeles,Los Angeles,34.062349,-118.27615
90058,Los Angeles,Los Angeles,Los Angeles,34.001856,-118.212618
90059,Los Angeles,Los Angeles,Los Angeles,33.92071,-118.245186
90060,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90061,Los Angeles,Los Angeles,Los Angeles,33.920602,-118.273928
90062,Los Angeles,Los Angeles,Los Angeles,34.003654,-118.309719
90063,Los Angeles,Los Angeles,Los Angeles,34.043832,-118.187484
90064,Los Angeles,Los Angeles,Los Angeles,34.037084,-118.427894
90065,Los Angeles,Los Angeles,Los Angeles,34.111484,-118.228648
90066,Los Angeles,Los Angeles,Los Angeles,34.00015,-118.432598
90067,Los Angeles,Los Angeles,Los Angeles,34.05775,-118.4138
90068,Los Angeles,Los Angeles,Los Angeles,34.129853,-118.335456
90069,West Hollywood,Los Angeles,Los Angeles,34.094175,-118.38091
90070,Los Angeles,Los Angeles,Los Angeles,34.0578,-118.2725
90071,Los Angeles,Los Angeles,Los Angeles,34.052456,-118.255309
90072,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90073,Los Angeles,Los Angeles,Los Angeles,34.059232,-118.451407
90074,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90075,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90076,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
90077,Los Angeles,Los Angeles,Los Angeles,34.102676,-118.452472
90078,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2429
